station_id,lat,lng,_persons15
2,41.8765,-87.6205,830
3,41.8672,-87.6154,94
4,41.8563,-87.6133,13
5,41.8741,-87.6277,1255
6,41.887,-87.6128,317
7,41.8863,-87.6175,940
9,41.8288,-87.6806,154
11,41.7666,-87.5764,204
12,41.7664,-87.5657,190
13,41.9324,-87.6527,713
14,41.8581,-87.6511,338
15,41.8582,-87.6565,384
16,41.9103,-87.6701,729
17,41.9031,-87.6739,783
18,41.8831,-87.6373,3288
19,41.869,-87.6591,172
20,41.9105,-87.6531,492
21,41.8777,-87.6548,629
22,41.8695,-87.6555,155
23,41.9029,-87.6377,735
24,41.8918,-87.6206,2221
25,41.8977,-87.6235,1987
26,41.8904,-87.6175,1037
27,41.9102,-87.6435,475
28,41.9147,-87.6433,482
29,41.9007,-87.6626,512
30,41.8996,-87.6677,650
31,41.8967,-87.6357,1721
32,41.8746,-87.657,347
33,41.8772,-87.6278,2411
34,41.9268,-87.6344,245
35,41.8923,-87.612,394
36,41.8777,-87.6353,2534
37,41.8794,-87.6298,3025
38,41.886,-87.6309,4592
39,41.8795,-87.6257,2609
40,41.8793,-87.632,3307
41,41.8721,-87.6295,1023
42,41.8526,-87.6265,590
43,41.884,-87.6247,3435
44,41.8847,-87.6277,4175
45,41.8762,-87.6244,1594
46,41.8999,-87.6344,1412
47,41.8892,-87.6278,3806
48,41.8978,-87.6429,567
49,41.8813,-87.6295,3571
50,41.8759,-87.6306,2020
51,41.8846,-87.6319,3628
52,41.886,-87.6241,3053
53,41.8947,-87.6344,2454
54,41.8964,-87.6541,457
55,41.8673,-87.6486,242
56,41.8887,-87.6444,1365
57,41.8671,-87.6411,218
58,41.916,-87.6689,351
59,41.8672,-87.626,592
60,41.9106,-87.6494,508
61,41.9077,-87.6726,859
62,41.8514,-87.6188,266
66,41.8856,-87.6418,2106
67,41.9256,-87.6537,602
68,41.8759,-87.6408,1323
69,41.9094,-87.6777,822
71,41.8855,-87.6523,1180
72,41.8604,-87.6258,442
73,41.8804,-87.6427,2019
74,41.8938,-87.6417,1130
75,41.8772,-87.6394,1649
76,41.881,-87.6167,983
77,41.8822,-87.6411,2070
80,41.8804,-87.6555,869
81,41.8842,-87.6296,4359
84,41.8916,-87.6484,811
85,41.901,-87.6238,1394
86,41.8964,-87.661,460
87,41.9256,-87.6584,523
88,41.8841,-87.6569,996
89,41.875,-87.6331,1646
90,41.881,-87.6241,2788
91,41.8834,-87.6412,2350
92,41.8946,-87.6534,451
93,41.9137,-87.6529,566
94,41.9183,-87.6363,425
95,41.7789,-87.5866,58
96,41.8846,-87.6446,1726
97,41.8653,-87.6179,74
98,41.8827,-87.6325,4169
99,41.8926,-87.6145,898
100,41.8882,-87.6364,3080
101,41.781,-87.5761,5
102,41.7735,-87.5853,97
103,41.8715,-87.6409,388
106,41.8974,-87.6287,2536
107,41.8783,-87.6439,1561
108,41.8718,-87.6466,367
109,41.8748,-87.6498,479
110,41.894,-87.6293,3388
111,41.8947,-87.6384,1362
112,41.8837,-87.6487,1463
113,41.9184,-87.6522,515
114,41.9494,-87.6545,705
115,41.9363,-87.6527,837
116,41.9155,-87.687,482
117,41.9402,-87.653,771
118,41.9114,-87.6387,532
119,41.8859,-87.6672,432
120,41.853,-87.6306,572
121,41.8026,-87.5904,353
122,41.875,-87.6733,155
123,41.9227,-87.6972,478
124,41.855,-87.6757,302
125,41.8902,-87.6262,3408
126,41.912,-87.6319,539
127,41.9259,-87.6493,785
128,41.8958,-87.6772,582
129,41.8576,-87.6615,404
130,41.9033,-87.6784,619
131,41.9394,-87.6684,560
132,41.8501,-87.6321,412
133,41.8892,-87.6385,2432
134,41.8776,-87.6496,901
135,41.8538,-87.6466,306
136,41.8651,-87.657,269
137,41.8624,-87.6511,184
138,41.9046,-87.6406,487
140,41.899,-87.6299,2186
141,41.9157,-87.6346,431
142,41.8945,-87.6179,1354
143,41.9222,-87.6389,484
144,41.9218,-87.6441,651
145,41.8986,-87.6219,1583
146,41.8779,-87.662,341
147,41.8457,-87.6225,186
148,41.8347,-87.6258,150
149,41.8349,-87.6179,134
150,41.8386,-87.6082,10
152,41.9322,-87.6586,569
153,41.9357,-87.6636,584
154,41.9395,-87.6638,621
156,41.9365,-87.6475,930
157,41.9367,-87.6368,395
158,41.9126,-87.6814,722
159,41.9078,-87.6859,411
160,41.9105,-87.6896,434
161,41.8958,-87.6259,2704
162,41.9359,-87.6784,354
163,41.9319,-87.6779,293
